,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
237,244,22,2.0,25.0,2.0,0.6298670663964,1.0,0,double,17,inside,2,high,no,face
238,245,23,4.0,62.0,1.0,0.5851015991283929,0.0,1,double,17,inside,2,low,no,face
239,246,24,3.0,61.0,2.0,0.702791650444851,1.0,0,left,17,inside,2,low,yes,face
240,247,25,2.0,29.0,2.0,0.7584774299466519,1.0,0,double,17,inside,2,high,no,face
241,248,26,2.0,19.0,2.0,0.778698541438644,1.0,1,double,17,inside,2,high,no,face
242,249,27,2.0,12.0,1.0,0.562438754783216,1.0,1,double,17,inside,2,high,no,car
243,250,28,1.0,19.0,2.0,0.58004280516252,1.0,0,left,17,inside,2,high,yes,face
244,251,29,4.0,61.0,1.0,0.604801002646127,0.0,1,double,17,inside,2,low,no,face
245,252,30,3.0,72.0,1.0,0.683402688227943,0.0,0,left,17,inside,2,low,yes,face
246,253,31,3.0,41.0,1.0,1.3108824384798945,1.0,1,right,17,inside,2,low,yes,car
247,254,32,1.0,27.0,2.0,0.588766370394296,1.0,0,left,17,inside,2,high,yes,face
248,255,33,4.0,42.0,1.0,1.3108824384798945,1.0,0,double,17,inside,2,low,no,car
249,256,34,2.0,28.0,2.0,0.642708219562337,1.0,0,double,17,inside,2,high,no,face
250,257,35,4.0,63.0,1.0,0.642000475196255,0.0,0,double,17,inside,2,low,no,face
251,258,36,2.0,24.0,2.0,0.541645240864455,1.0,0,double,17,inside,2,high,no,face
252,259,37,2.0,35.0,2.0,0.595398834397201,1.0,0,double,17,inside,2,high,no,face
253,260,38,1.0,12.0,1.0,0.6286129161890129,1.0,0,left,17,inside,2,high,yes,car
254,261,39,3.0,64.0,1.0,0.600903496193496,0.0,0,left,17,inside,2,low,yes,face
255,262,40,1.0,21.0,2.0,0.6997389668795219,1.0,1,right,17,inside,2,high,yes,face
256,263,41,3.0,57.0,1.0,0.809652254392859,0.0,0,left,17,inside,2,low,yes,face
257,264,42,1.0,33.0,2.0,0.547969500232284,1.0,1,right,17,inside,2,high,yes,face
258,265,43,3.0,59.0,1.0,0.583150738610129,0.0,1,right,17,inside,2,low,yes,face
259,266,44,1.0,29.0,2.0,0.748702168868476,1.0,1,right,17,inside,2,high,yes,face
260,267,45,4.0,67.0,1.0,0.6682974367904541,0.0,1,double,17,inside,2,low,no,face
261,268,46,4.0,58.0,1.0,0.6248845230911679,0.0,0,double,17,inside,2,low,no,face
262,269,47,3.0,38.0,1.0,0.6149768508767011,1.0,0,left,17,inside,2,low,yes,car
263,270,48,4.0,51.0,1.0,0.776563712021016,1.0,1,double,17,inside,2,low,no,car
264,271,49,1.0,10.0,1.0,0.736923006686993,1.0,0,left,17,inside,2,high,yes,car
265,272,50,3.0,50.0,1.0,0.503541048048646,1.0,0,left,17,inside,2,low,yes,car
266,273,51,1.0,6.0,1.0,1.03103435235607,1.0,1,right,17,inside,2,high,yes,car
267,274,52,4.0,48.0,1.0,1.11658514072406,1.0,0,double,17,inside,2,low,no,car
268,275,53,2.0,15.0,1.0,1.3108824384798945,1.0,1,double,17,inside,2,high,no,car
269,276,54,4.0,40.0,1.0,0.743471221270738,1.0,0,double,17,inside,2,low,no,car
270,277,55,2.0,18.0,1.0,0.6513592237570259,1.0,1,double,17,inside,2,high,no,car
